disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
4176,7378,22394257.37,17769195.04,4625062.33,34914043.03,13070990.37,20733621.66,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,8312756.97,6786042bed2344b0b351887fb854e9657b54b369,2024-11-09T08:49:42.136Z,6700a3d7-9b85-4034-a961-c738463b4685
4177,7101,35062955.9,28935762.88,6127193.02,126896530.59,5455008.48,117743264.46,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,36314335.47,b097a819ecb5153c5a0f74b55eea234a940bd7ed,2024-11-09T08:49:42.136Z,b8307a86-d2a8-4ab7-89d7-2509d6ff87eb
4193,4264,11373532.86,10367500.6,1006032.26,29795656.55,5073665.89,23489183.07,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,3636564,db8e53d9ada025d9e28727368985184341bfb1d9,2024-11-09T08:49:42.136Z,b2100642-e061-4693-8e26-66dfa911916f
4195,73255,155631144.18,123667225.35,31963918.83,15216615.38,8365546.79,6818021.94,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,24485683.41,f58465cf2c249d2dc623429a0369b802aa43b96b,2024-11-09T08:49:42.136Z,44d5aa72-d961-4b6b-b4bd-893fd9bd6275
4217,1086,4083323.11,2933602.92,1149720.19,11081002.25,746410.16,9885252.09,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,2548681.35,f8e7b844f801c607184a89e3690f8326b05b92e2,2024-11-09T08:49:42.136Z,7e14a3e8-df57-4c83-bb41-22c2ab05aa09
4222,4610,18563163.18,16100633.78,2462529.4,64240911.93,5127222.99,57054167.4,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,11286532.37,2b93499f7e16cd17f6ead22af3acbc74d6e203a1,2024-11-09T08:49:42.136Z,9777e12f-5f40-42a4-b2f2-903db1a12a34
4223,12950,57468972.87,45122275.07,12346697.8,157660289.52,32639066.26,114202412.16,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,26590557.23,e35d7ce48cb707f67d859e8c28879dc213fcab40,2024-11-09T08:49:42.136Z,5c0bf190-1a98-4d31-be36-808d0d3a6e79
4226,256,1157319.71,1046550.88,110768.83,11134540.28,1245384.45,9496719.83,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,2004634.04,e959e142bf3e9a68a690e4d87a513cffbccb0883,2024-11-09T08:49:42.136Z,2e33203a-71a4-475f-a283-ed51acd1e49d
4227,148,1293347.34,1015897.76,277449.58,2498189.73,421555.84,2034737.26,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,634097.65,afe10607c896810b6147494e277f02436d4d4e66,2024-11-09T08:49:42.136Z,1baf24cf-77e5-428c-b9c0-d2deb8c93f48
4235,4864,25097245.58,17379956.6,7717288.98,39817693.88,5792505.67,33087658.21,2024-11-09T00:00:00.000Z,2024-11-09T00:00:00.000Z,9029978.79,6d7d623eac084e2aa76a56f89ecdb4e4a394c405,2024-11-09T08:49:42.136Z,90b08c72-aabc-4f40-9cf5-76cee2664203
4237,391,439284.08,220241.9,219042.18,,,,,2024-11-09T00:00:00.000Z,474007.95,c30b2dd43601af358f392e3f00ccf241b8484a3b,2024-11-09T08:49:42.136Z,ab6c4886-facf-4b0d-a095-cc60a07e9fbb
